Date,Symbol,Action,Price,Quantity,PnL,Commission
11/16/2020,QQQM,BUY,115.71,100,-1.00,1.00
03/01/2021,QQQM,SELL,127.31,100,-1.00,1.00
04/05/2021,QQQM,BUY,130.69,100,-1.00,1.00
05/12/2021,QQQM,SELL,127.86,100,-1.00,1.00
05/28/2021,QQQM,BUY,133.53,100,-1.00,1.00
09/24/2021,QQQM,SELL,148.31,100,-1.00,1.00
10/20/2021,QQQM,BUY,150.46,100,-1.00,1.00
12/20/2021,QQQM,SELL,152.21,100,-1.00,1.00
12/27/2021,QQQM,BUY,159.66,100,-1.00,1.00
01/10/2022,QQQM,SELL,150.22,100,-1.00,1.00
03/25/2022,QQQM,BUY,144.35,100,-1.00,1.00
04/14/2022,QQQM,SELL,139.09,100,-1.00,1.00
07/20/2022,QQQM,BUY,120.14,100,-1.00,1.00
09/01/2022,QQQM,SELL,119.30,100,-1.00,1.00
11/15/2022,QQQM,BUY,117.85,100,-1.00,1.00
12/20/2022,QQQM,SELL,108.47,100,-1.00,1.00
01/18/2023,QQQM,BUY,114.46,100,-1.00,1.00
08/14/2023,QQQM,SELL,148.18,100,-1.00,1.00
09/01/2023,QQQM,BUY,154.23,100,-1.00,1.00
09/21/2023,QQQM,SELL,146.50,100,-1.00,1.00
10/16/2023,QQQM,BUY,148.85,100,-1.00,1.00
10/20/2023,QQQM,SELL,145.98,100,-1.00,1.00
11/08/2023,QQQM,BUY,151.49,100,-1.00,1.00
04/17/2024,QQQM,SELL,176.66,100,-1.00,1.00
05/09/2024,QQQM,BUY,179.56,100,-1.00,1.00
07/26/2024,QQQM,SELL,189.02,100,-1.00,1.00
08/21/2024,QQQM,BUY,196.54,100,-1.00,1.00
09/05/2024,QQQM,SELL,187.52,100,-1.00,1.00
09/17/2024,QQQM,BUY,194.63,100,-1.00,1.00
