Date,Symbol,Action,Price,Quantity,PnL,Commission
04/05/2021,QQQM,BUY,130.69,100,-1.00,1.00
05/12/2021,QQQM,SELL,127.86,100,-1.00,1.00
06/03/2021,QQQM,BUY,131.99,100,-1.00,1.00
09/24/2021,QQQM,SELL,148.31,100,-1.00,1.00
10/22/2021,QQQM,BUY,150.43,100,-1.00,1.00
12/09/2021,QQQM,SELL,159.48,100,-1.00,1.00
01/03/2022,QQQM,BUY,159.93,100,-1.00,1.00
01/11/2022,QQQM,SELL,152.11,100,-1.00,1.00
03/25/2022,QQQM,BUY,144.35,100,-1.00,1.00
04/20/2022,QQQM,SELL,139.38,100,-1.00,1.00
06/09/2022,QQQM,BUY,122.81,100,-1.00,1.00
06/14/2022,QQQM,SELL,111.47,100,-1.00,1.00
07/19/2022,QQQM,BUY,117.92,100,-1.00,1.00
08/31/2022,QQQM,SELL,122.25,100,-1.00,1.00
10/31/2022,QQQM,BUY,112.41,100,-1.00,1.00
11/09/2022,QQQM,SELL,107.83,100,-1.00,1.00
11/11/2022,QQQM,BUY,113.91,100,-1.00,1.00
12/20/2022,QQQM,SELL,108.47,100,-1.00,1.00
01/20/2023,QQQM,BUY,111.81,100,-1.00,1.00
03/03/2023,QQQM,SELL,119.35,100,-1.00,1.00
03/22/2023,QQQM,BUY,125.59,100,-1.00,1.00
08/11/2023,QQQM,SELL,148.34,100,-1.00,1.00
09/06/2023,QQQM,BUY,152.94,100,-1.00,1.00
09/25/2023,QQQM,SELL,144.91,100,-1.00,1.00
10/18/2023,QQQM,BUY,148.46,100,-1.00,1.00
10/26/2023,QQQM,SELL,141.76,100,-1.00,1.00
11/10/2023,QQQM,BUY,150.98,100,-1.00,1.00
04/12/2024,QQQM,SELL,179.88,100,-1.00,1.00
05/10/2024,QQQM,BUY,180.50,100,-1.00,1.00
07/25/2024,QQQM,SELL,189.46,100,-1.00,1.00
08/23/2024,QQQM,BUY,195.81,100,-1.00,1.00
09/16/2024,QQQM,SELL,193.35,100,-1.00,1.00
09/20/2024,QQQM,BUY,197.13,100,-1.00,1.00
